ache;parcialidad indígena guaraní, guayakí;Substantivo;Normal;;
achegety;abecedario;Substantivo;Normal;;
achúra;órganos internos de res, menudencias;Substantivo;Normal;;
adio;saludo, despedida, adiós;Interjeição;Normal;;
ae;solamente;Adjetivo;Normal;;
aguai;árbol frutal y su fruta;Substantivo;Normal;;
aguape;camalote, planta acuática, nenúfar;Substantivo;Normal;;
aguapeaso;flamenco;Substantivo;Normal;;
aguara;estar orgulloso;Verbo;Normal;;
aguaraguasu ra’y;lobezno de aguará guazú;Substantivo;Normal;;
aguara’i;zorro americano pequeño;Substantivo;Normal;;
aguive;desde ahora;Adjetivo;Normal;;
aguyje;agradecer;Verbo;Normal;;
aguyjeve;agradecer;Verbo;Normal;;
aguyjevete;gratitud;Substantivo;Normal;;
agãgua;moderno;Adjetivo;Normal;;
agãite;enseguida;Adjetivo;Normal;;
ag̃ui;cerca;Adjetivo;Normal;;
agẽ;hoy;Adjetivo;Normal;;
ahoja;manta;Substantivo;Normal;;
ahoʼiha;carpa;Substantivo;Normal;;
ahyʼo;garganta;Substantivo;Normal;;
ahyʼojere;tener náuseas;Verbo;Normal;;
ahyʼopaʼã;atragantarse;Verbo;Normal;;
ahyʼopyáu;enronquecerse;Verbo;Normal;;
ahyʼorasy;angina;Substantivo;Normal;;
ahyʼotĩ;campanilla;Substantivo;Normal;;
ahyʼoʼapi;atorarse;Verbo;Normal;;
ahy’o ruru;garrotillo, difteria, laringitis;Substantivo;Normal;;
ahániri;neg no ahániri avei tampoco;Adjetivo;Normal;;
ahógo;disnea;Substantivo;Normal;;
ahẽ;perverso;Adjetivo;Normal;;
ai;llaga;Substantivo;Normal;;
aiguyʼi;quiste;Substantivo;Normal;;
aiko;andar;Verbo;Normal;;
aime;estar;Verbo;Normal;;
aipo;invisible o indefinido;Adjetivo;Normal;;
aipórõ;entonces;Advérbio / Preposição / Conjunção;Normal;;
aisy;resinoso;Adjetivo;Normal;;
aja;cuando;Adjetivo;Normal;;
ajaka;cesto;Substantivo;Normal;;
ajeve;por eso;Advérbio / Preposição / Conjunção;Normal;;
ajeʼi;hace un rato;Adjetivo;Normal;;
aju;maduro;Adjetivo;Normal;;
ajukue;sazón;Substantivo;Normal;;
ajuraroʼo;papada;Adjetivo;Normal;;
ajurigua;collar;Substantivo;Normal;;
ajutyrõka;corbata;Substantivo;Normal;;
ajuvyso;estirar el cuello;Verbo;Normal;;
ajuʼy;laurel;Substantivo;Normal;;
ajúra;cuello;Substantivo;Normal;;
ajúri;al cuello;Adjetivo;Normal;;
akamambu;ampolla;Substantivo;Normal;;
akangata;almohada;Substantivo;Normal;;
akangatu;memoria;Substantivo;Normal;;
akangyta;almohada;Substantivo;Normal;;
akatúa;derecha;Adjetivo;Normal;;
akaʼẽ;pájaro;Substantivo;Normal;;
ako;distante en el tiempo o en el espacio;Adjetivo;Normal;;
akokuehe;antes de ayer;Adjetivo;Normal;;
akopia;comprar un producto para volverlo a vender;Verbo;Normal;;
aku;caliente;Adjetivo;Normal;;
akua;puntiagudo;Adjetivo;Normal;;
akue;en el pasado;Adjetivo;Normal;;
akuruchï;parálisis;Substantivo;Normal;;
akuruchĩ;tullid;Adjetivo;Normal;;
akuti;mamífero roedor parecido al conejo, acutí;Substantivo;Normal;;
akuã;adelantarse a otro;Verbo;Normal;;
akuãngue;velocidad;Substantivo;Normal;;
aky;verde;Adjetivo;Normal;;
akytã;nudo;Adjetivo;Normal;;
akã;testa;Substantivo;Normal;;
akãchara;greña, pelo enmarañado;Substantivo;Normal;;
akãguapy;moderado;Adjetivo;Normal;;
akãguasu;cabezón;Adjetivo;Normal;;
akãguyry;vértigo;Substantivo;Normal;;
akãhatã;terco;Adjetivo;Normal;;
akãhatãngue;travesura;Substantivo;Normal;;
akãhoja;manto;Substantivo;Normal;;
akãjere;mareo;Substantivo;Normal;;
akãkangue;cráneo;Substantivo;Normal;;
akãkanguekue;calavera;Substantivo;Normal;;
akãkarãi;peinar;Verbo;Normal;;
akãkuchu;tonto;Adjetivo;Normal;;
akãkyʼo;lavar la cabeza;Verbo;Normal;;
akãndu;chichón;Substantivo;Normal;;
akãngao;gorra;Substantivo;Normal;;
akãngatu;memoria;Substantivo;Normal;;
akãngaʼu;marear;Verbo;Normal;;
akãngeta;calcular;Verbo;Normal;;
akãngua;mente;Substantivo;Normal;;
akãngue;cráneo;Substantivo;Normal;;
akãnundu;tener fiebre;Verbo;Normal;;
akãnunduroʼy;paludismo;Substantivo;Normal;;
akão;sombrero;Substantivo;Normal;;
akãoʼatã;casco;Substantivo;Normal;;
akãperõ;rapado;Adjetivo;Normal;;
akãpete;coscorrón, golpe en la cabeza;Substantivo;Normal;;
akãpichaʼĩ;crespo;Adjetivo;Normal;;
akãporã;intelectual;Adjetivo;Normal;;
akãpyta;sereno;Adjetivo;Normal;;
akãpytã;pelirrojo;Adjetivo;Normal;;
akãrague;cabellera;Substantivo;Normal;;
akãraku;enamorarse;Verbo;Normal;;
akãrapuʼã;desarrollo;Substantivo;Normal;;
akãrasy;dolor de cabeza;Substantivo;Normal;;
akãrati;infidelidad;Substantivo;Normal;;
akãratĩ;infidelidad;Substantivo;Normal;;
akãravichãi;greña, cabellera despeinada;Substantivo;Normal;;
akãreko;mentalidad;Substantivo;Normal;;
akãsã;cabestro;Substantivo;Normal;;
akãtarova;alocado;Adjetivo;Normal;;
akãtarova, akãtavy;mareo;Substantivo;Normal;;
akãtavy;caducar;Verbo;Normal;;
akãtĩ;canas, cabello canoso;Substantivo;Normal;;
akãtĩparo;voltear;Verbo;Normal;;
akãvai;locura;Substantivo;Normal;;
akãvichãi;despeinado;Adjetivo;Normal;;
akãʼo;descabezar;Verbo;Normal;;
akãʼy;hidrocefalia;Substantivo;Normal;;
akói;como siempre;Adjetivo;Normal;;
akỹ;húmedo;Adjetivo;Normal;;
akỹmba;mojarse;Verbo;Normal;;
alko;alcohol;Substantivo;Normal;;
almasẽ;almacén;Substantivo;Normal;;
